廠商名稱,商品名稱,商品規格,數量,批號
A公司,保濕面膜,深層保濕型,100,BN20250601
A公司,保濕面膜,清爽控油型,150,BN20250602
A公司,保濕面膜,敏感肌型,80,BN20250603
A公司,精華液,抗氧化,120,BN20250604
A公司,精華液,美白淡斑,90,BN20250605
A公司,卸妝油,滋潤型,200,BN20250606
A公司,卸妝油,清爽型,180,BN20250607
A公司,洗面乳,深層清潔,250,BN20250608
A公司,洗面乳,溫和保濕,200,BN20250609
A公司,化妝水,保濕型,150,BN20250610
A公司,化妝水,收斂型,100,BN20250611
A公司,防曬乳,SPF30,80,BN20250612
B公司,防曬乳,SPF50,120,BN20250613
B公司,晚霜,抗皺型,50,BN20250614
B公司,晚霜,修復型,60,BN20250615
B公司,眼霜,抗皺,30,BN20250616
C公司,眼霜,明亮,25,BN20250617
C公司,面膜,清潔,100,BN20250618
C公司,面膜,補水,120,BN20250619
C公司,唇膏,滋潤型,40,BN20250620
